id_section,station
40,SCUOLA ELEMENTARE CLARINA
22,SCUOLA ELEMENTARE F. CRISPI
34,SCUOLA ELEMENTARE NICOLODI
32,SCUOLA ELEMENTARE NICOLODI
44,SCUOLA ELEMENTARE M. BIANCA
52,SCUOLA ELEMENTARE G.A.TOMASI
37,SCUOLA ELEMENTARE CLARINA
17,SCUOLA ELEMENTARE F. CRISPI
8,SCUOLA ELEMENTARE BELLESINI
6,SCUOLA ELEMENTARE R. SANZIO
36,SCUOLA ELEMENTARE NICOLODI
4,SCUOLA ELEMENTARE R. SANZIO
18,SCUOLA ELEMENTARE F. CRISPI
3,SCUOLA ELEMENTARE R. SANZIO
5,SCUOLA ELEMENTARE R. SANZIO
10,SCUOLA ELEMENTARE BELLESINI
35,SCUOLA ELEMENTARE NICOLODI
9,SCUOLA ELEMENTARE BELLESINI
33,SCUOLA ELEMENTARE NICOLODI
25,SCUOLA ELEMENTARE D. SAVIO
20,SCUOLA ELEMENTARE F. CRISPI
23,SCUOLA ELEMENTARE F. CRISPI
2,SCUOLA ELEMENTARE R. SANZIO
31,SCUOLA ELEMENTARE D. SAVIO
16,SCUOLA ELEMENTARE BELLESINI
45,SCUOLA ELEMENTARE M. BIANCA
1,SCUOLA ELEMENTARE R. SANZIO
14,CENTRO SOCIALE (EX ELEMENTARI)
13,CENTRO SOCIALE (EX ELEMENTARI)
12,CENTRO SOCIALE (EX ELEMENTARI)
7,SCUOLA ELEMENTARE BELLESINI
76,CENTRO CIVICO SARDAGNA
24,SCUOLA ELEMENTARE D. SAVIO
28,SCUOLA ELEMENTARE D. SAVIO
21,SCUOLA ELEMENTARE F. CRISPI
27,SCUOLA ELEMENTARE D. SAVIO
29,SCUOLA ELEMENTARE D. SAVIO
41,SCUOLA ELEMENTARE CLARINA
11,SCUOLA ELEMENTARE BELLESINI
46,SCUOLA ELEMENTARE M. BIANCA
43,SCUOLA ELEMENTARE CLARINA
39,SCUOLA ELEMENTARE CLARINA
94,SCUOLA ELEMENTARE BELLESINI
38,SCUOLA ELEMENTARE CLARINA
63,CENTRO CIVICO COGNOLA
15,SCUOLA ELEMENTARE BELLESINI
47,SCUOLA ELEMENTARE M. BIANCA
26,SCUOLA ELEMENTARE D. SAVIO
19,SCUOLA ELEMENTARE F. CRISPI
30,SCUOLA ELEMENTARE D. SAVIO
42,SCUOLA ELEMENTARE CLARINA
66,CENTRO CIVICO COGNOLA
86,CENTRO CIVICO GARDOLO
97,CENTRO CIVICO COGNOLA
59,CENTRO CIVICO POVO
70,SCUOLA ELEMENTARE MARTIGNANO
92,EDIFICIO PLURIUSO(EX CENTRO CIVICO)
88,EDIFICIO PLURIUSO(EX CENTRO CIVICO)
84,CENTRO CIVICO GARDOLO
72,CENTRO CIVICO RAVINA
55,EX CASERMA DEI CARABINIERI
91,EDIFICIO PLURIUSO(EX CENTRO CIVICO)
89,EDIFICIO PLURIUSO(EX CENTRO CIVICO)
90,EDIFICIO PLURIUSO(EX CENTRO CIVICO)
85,CENTRO CIVICO GARDOLO
81,CENTRO CIVICO MEANO
87,EDIFICIO PLURIUSO(EX CENTRO CIVICO)
93,EDIFICIO PLURIUSO(EX CENTRO CIVICO)
67,CENTRO CIVICO COGNOLA
68,SCUOLA ELEMENTARE MARTIGNANO
69,SCUOLA ELEMENTARE MARTIGNANO
71,SCUOLA ELEMENTARE MARTIGNANO
65,CENTRO CIVICO COGNOLA
64,CENTRO CIVICO COGNOLA
50,SCUOLA ELEMENTARE G.A.TOMASI
51,SCUOLA ELEMENTARE G.A.TOMASI
53,SCUOLA ELEMENTARE G.A.TOMASI
61,CENTRO CIVICO POVO
60,CENTRO CIVICO POVO
62,CENTRO CIVICO POVO
58,EX CASERMA DEI CARABINIERI
56,EX CASERMA DEI CARABINIERI
75,UFFICIO COMUNALE ROMAGNANO
54,EX CASERMA DEI CARABINIERI
57,EX CASERMA DEI CARABINIERI
98,CENTRO CIVICO SOPRAMONTE
78,CENTRO CIVICO SOPRAMONTE
77,CENTRO CIVICO SOPRAMONTE
79,CENTRO CIVICO CADINE
80,CENTRO CIVICO CADINE
96,CENTRO CIVICO MEANO
83,CENTRO CIVICO VIGO MEANO
82,CENTRO CIVICO MEANO
73,CENTRO CIVICO RAVINA
74,CENTRO CIVICO RAVINA
95,UFFICIO COMUNALE ROMAGNANO
